symbol,bidPrice,bidQty,askPrice,askQty
ETHBTC,0.06767000,2.97000000,0.06768200,0.76600000
LTCBTC,0.00462100,118.79000000,0.00462600,0.62000000
BNBBTC,0.00879000,2.28000000,0.00879100,1.35000000
NEOBTC,0.00134000,734.68000000,0.00134200,249.83000000
QTUMETH,0.00399900,240.55000000,0.00402900,240.55000000
EOSETH,0.00204800,10.78000000,0.00205500,961.72000000
SNTETH,0.00003533,1094.00000000,0.00003574,23771.00000000
BNTETH,0.00174000,234.30000000,0.00175400,505.16000000
BCCBTC,0.00000000,0.00000000,0.00000000,0.00000000
GASBTC,0.00022470,22.45000000,0.00022500,3.21000000
BNBETH,0.12983000,7.28500000,0.12997000,13.00000000
BTCUSDT,38751.08000000,0.03699800,38755.73000000,0.13396300
ETHUSDT,2622.28000000,1.52905000,2622.30000000,0.75291000
HSRBTC,0.00000000,0.00000000,0.00000000,0.00000000
OAXETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOETH,0.00000000,0.00000000,0.00000000,0.00000000
ICNETH,0.00000000,0.00000000,0.00000000,0.00000000
MCOBTC,0.00000000,0.00000000,0.00000000,0.00000000
WTCBTC,0.00002129,99.32000000,0.00002130,18.10000000
WTCETH,0.00000000,0.00000000,0.00000000,0.00000000
LRCBTC,0.00000848,3901.00000000,0.00000851,8526.00000000
LRCETH,0.00012533,1820.00000000,0.00012600,1803.00000000
QTUMBTC,0.00027100,70.88000000,0.00027110,1.70000000
YOYOBTC,0.00000042,1070899.00000000,0.00000043,1170444.00000000
OMGBTC,0.00016550,1669.00000000,0.00016570,7.38000000
OMGETH,0.00244200,2740.55000000,0.00245400,1060.63000000
ZRXBTC,0.00002509,590.00000000,0.00002512,1070.00000000
ZRXETH,0.00037016,676.00000000,0.00037384,955.00000000
STRATBTC,0.00000000,0.00000000,0.00000000,0.00000000
STRATETH,0.00000000,0.00000000,0.00000000,0.00000000
SNGLSBTC,0.00000026,1370527.00000000,0.00000027,5486736.00000000
SNGLSETH,0.00000000,0.00000000,0.00000000,0.00000000
BQXBTC,0.00006351,66.00000000,0.00006360,51.00000000
BQXETH,0.00093540,353.00000000,0.00094010,100.00000000
KNCBTC,0.00004421,124.00000000,0.00004428,749.00000000
KNCETH,0.00065230,5269.00000000,0.00065760,2147.00000000
FUNBTC,0.00000057,3821661.00000000,0.00000058,6015989.00000000
FUNETH,0.00000849,758498.00000000,0.00000852,464349.00000000
SNMBTC,0.00000643,1156.50000000,0.00000651,20.00000000
SNMETH,0.00000000,0.00000000,0.00000000,0.00000000
NEOETH,0.01979600,28.84000000,0.01982800,188.45000000
IOTABTC,0.00002781,7100.00000000,0.00002786,65.00000000
IOTAETH,0.00041001,10611.00000000,0.00041197,9639.00000000
LINKBTC,0.00065560,1.40000000,0.00065605,387.70000000
LINKETH,0.00968100,768.56000000,0.00969100,19.03000000
XVGBTC,0.00000067,3306955.00000000,0.00000068,679375.00000000
XVGETH,0.00000997,10000.00000000,0.00000999,36487.00000000
SALTBTC,0.00000000,0.00000000,0.00000000,0.00000000
SALTETH,0.00000000,0.00000000,0.00000000,0.00000000
MDABTC,0.00002148,27.00000000,0.00002149,18.00000000
MDAETH,0.00000000,0.00000000,0.00000000,0.00000000
MTLBTC,0.00006000,13.00000000,0.00006005,110.00000000
MTLETH,0.00088500,450.00000000,0.00088900,2985.14000000
SUBBTC,0.00000000,0.00000000,0.00000000,0.00000000
SUBETH,0.00000000,0.00000000,0.00000000,0.00000000
EOSBTC,0.00013860,3763.09000000,0.00013880,3362.50000000
SNTBTC,0.00000239,24555.00000000,0.00000241,129828.00000000
ETCETH,0.02771300,9.03000000,0.02783900,1.30000000
ETCBTC,0.00187710,1.32000000,0.00188420,3.65000000
MTHBTC,0.00000060,500.00000000,0.00000061,347842.00000000
MTHETH,0.00000000,0.00000000,0.00000000,0.00000000
ENGBTC,0.00000000,0.00000000,0.00000000,0.00000000
ENGETH,0.00000000,0.00000000,0.00000000,0.00000000
DNTBTC,0.00000520,2552.00000000,0.00000522,5671.00000000
ZECBTC,0.00371000,19.47200000,0.00371400,7.38300000
ZECETH,0.05472000,11.59100000,0.05503000,48.05800000
BNTBTC,0.00011778,0.90000000,0.00011789,42.80000000
ASTBTC,0.00000535,779.00000000,0.00000538,12702.00000000
ASTETH,0.00000000,0.00000000,0.00000000,0.00000000
DASHBTC,0.00489300,67.37300000,0.00489800,50.00000000
DASHETH,0.07227000,90.87600000,0.07237000,8.95100000
OAXBTC,0.00000530,3156.00000000,0.00000533,5135.00000000
ICNBTC,0.00000000,0.00000000,0.00000000,0.00000000
BTGBTC,0.00156800,3.98000000,0.00157100,0.32000000
BTGETH,0.00000000,0.00000000,0.00000000,0.00000000
EVXBTC,0.00001506,227.00000000,0.00001509,228.00000000
EVXETH,0.00000000,0.00000000,0.00000000,0.00000000
REQBTC,0.00000193,12081.00000000,0.00000194,13681.00000000
REQETH,0.00000000,0.00000000,0.00000000,0.00000000
VIBBTC,0.00000117,183544.00000000,0.00000118,4185.00000000
VIBETH,0.00001741,1713.00000000,0.00001763,5207.00000000
HSRETH,0.00000000,0.00000000,0.00000000,0.00000000
TRXBTC,0.00000194,1039315.00000000,0.00000195,2592849.00000000
TRXETH,0.00002869,67632.00000000,0.00002872,702.00000000
POWRBTC,0.00000647,200.00000000,0.00000648,1094.00000000
POWRETH,0.00009538,16.00000000,0.00009622,4181.00000000
ARKBTC,0.00002899,797.00000000,0.00002906,1237.00000000
ARKETH,0.00000000,0.00000000,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000,0.00000000,0.00000000
XRPBTC,0.00002384,3004.00000000,0.00002385,32411.00000000
XRPETH,0.00035220,28.00000000,0.00035244,125.00000000
MODBTC,0.00000000,0.00000000,0.00000000,0.00000000
MODETH,0.00000000,0.00000000,0.00000000,0.00000000
ENJBTC,0.00003194,2430.00000000,0.00003197,856.00000000
ENJETH,0.00047167,4221.00000000,0.00047397,403.00000000
STORJBTC,0.00002786,1848.00000000,0.00002790,22.00000000
STORJETH,0.00000000,0.00000000,0.00000000,0.00000000
BNBUSDT,340.57000000,3.79000000,340.69000000,0.00020000
VENBNB,0.00000000,0.00000000,0.00000000,0.00000000
YOYOBNB,0.00000000,0.00000000,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000,0.00000000,0.00000000
VENBTC,0.00000000,0.00000000,0.00000000,0.00000000
VENETH,0.00000000,0.00000000,0.00000000,0.00000000
KMDBTC,0.00004149,31.79000000,0.00004159,31.75000000
KMDETH,0.00061300,600.00000000,0.00061500,500.00000000
NULSBNB,0.00000000,0.00000000,0.00000000,0.00000000
RCNBTC,0.00000166,6181.00000000,0.00000167,19152.00000000
RCNETH,0.00000000,0.00000000,0.00000000,0.00000000
RCNBNB,0.00000000,0.00000000,0.00000000,0.00000000
NULSBTC,0.00001410,1731.00000000,0.00001412,21.00000000
NULSETH,0.00000000,0.00000000,0.00000000,0.00000000
RDNBTC,0.00001277,3595.00000000,0.00001282,20.00000000
RDNETH,0.00000000,0.00000000,0.00000000,0.00000000
RDNBNB,0.00000000,0.00000000,0.00000000,0.00000000
XMRBTC,0.00644300,0.02700000,0.00644500,0.08000000
XMRETH,0.09509000,10.86700000,0.09548000,0.30500000
DLTBNB,0.00000000,0.00000000,0.00000000,0.00000000
WTCBNB,0.00240600,901.50000000,0.00243600,684.00000000
DLTBTC,0.00000228,53128.00000000,0.00000230,31757.00000000
DLTETH,0.00000000,0.00000000,0.00000000,0.00000000
AMBBTC,0.00000094,4206.00000000,0.00000095,805843.00000000
AMBETH,0.00000000,0.00000000,0.00000000,0.00000000
AMBBNB,0.00000000,0.00000000,0.00000000,0.00000000
BCCETH,0.00000000,0.00000000,0.00000000,0.00000000
BCCUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BCCBNB,0.00000000,0.00000000,0.00000000,0.00000000
BATBTC,0.00001864,16945.00000000,0.00001866,2568.00000000
BATETH,0.00027494,226.00000000,0.00027600,220.00000000
BATBNB,0.00211900,2760.00000000,0.00212400,620.80000000
BCPTBTC,0.00000000,0.00000000,0.00000000,0.00000000
BCPTETH,0.00000000,0.00000000,0.00000000,0.00000000
BCPTBNB,0.00000000,0.00000000,0.00000000,0.00000000
ARNBTC,0.00000000,0.00000000,0.00000000,0.00000000
ARNETH,0.00000000,0.00000000,0.00000000,0.00000000
GVTBTC,0.00010950,33.23000000,0.00011010,34.41000000
GVTETH,0.00000000,0.00000000,0.00000000,0.00000000
CDTBTC,0.00000046,1829817.00000000,0.00000047,464608.00000000
CDTETH,0.00000688,72569.00000000,0.00000692,240625.00000000
GXSBTC,0.00001613,7500.00000000,0.00001616,79.00000000
GXSETH,0.00023750,11595.45000000,0.00023890,996.44000000
NEOUSDT,51.93300000,3.77200000,51.95300000,4.75700000
NEOBNB,0.15230000,213.77000000,0.15260000,0.36000000
POEBTC,0.00000000,0.00000000,0.00000000,0.00000000
POEETH,0.00000000,0.00000000,0.00000000,0.00000000
QSPBTC,0.00000104,2917.00000000,0.00000105,16271.00000000
QSPETH,0.00001525,3642.00000000,0.00001544,1440.00000000
QSPBNB,0.00000000,0.00000000,0.00000000,0.00000000
BTSBTC,0.00000142,38038.00000000,0.00000143,220711.00000000
BTSETH,0.00000000,0.00000000,0.00000000,0.00000000
BTSBNB,0.00000000,0.00000000,0.00000000,0.00000000
XZCBTC,0.00000000,0.00000000,0.00000000,0.00000000
XZCETH,0.00000000,0.00000000,0.00000000,0.00000000
XZCBNB,0.00000000,0.00000000,0.00000000,0.00000000
LSKBTC,0.00009790,9.64000000,0.00009800,21.81000000
LSKETH,0.00144200,2399.79000000,0.00145400,468.30000000
LSKBNB,0.00000000,0.00000000,0.00000000,0.00000000
TNTBTC,0.00000000,0.00000000,0.00000000,0.00000000
TNTETH,0.00000000,0.00000000,0.00000000,0.00000000
FUELBTC,0.00000000,0.00000000,0.00000000,0.00000000
FUELETH,0.00000000,0.00000000,0.00000000,0.00000000
MANABTC,0.00001965,512.00000000,0.00001968,3280.00000000
MANAETH,0.00029033,6.00000000,0.00029226,12392.00000000
BCDBTC,0.00007430,206.00000000,0.00007465,954.00000000
BCDETH,0.00000000,0.00000000,0.00000000,0.00000000
DGDBTC,0.00000000,0.00000000,0.00000000,0.00000000
DGDETH,0.00000000,0.00000000,0.00000000,0.00000000
IOTABNB,0.00315500,8975.50000000,0.00316800,742.20000000
ADXBTC,0.00002428,1297.00000000,0.00002437,21.00000000
ADXETH,0.00035820,1474.00000000,0.00036240,4792.00000000
ADXBNB,0.00000000,0.00000000,0.00000000,0.00000000
ADABTC,0.00003989,3526.00000000,0.00003990,1453.00000000
ADAETH,0.00058949,12.00000000,0.00058993,18908.00000000
PPTBTC,0.00005940,511.00000000,0.00005975,1679.00000000
PPTETH,0.00000000,0.00000000,0.00000000,0.00000000
CMTBTC,0.00000000,0.00000000,0.00000000,0.00000000
CMTETH,0.00000000,0.00000000,0.00000000,0.00000000
